제목,내용,기자,날짜
[보.알.남] 데이터 폭탄으로 상대방 컴퓨터 마비시키는 플러딩 공격,"플러딩(Flooding)이란 어떤 노드에서 온 하나의 패킷(데이터 전송에 사용되는 데이터 묶음)을 라우터에 접속돼 있는 다른 모든 노드로 전달하는 것으로,...",김영명 기자,2022년 10월 24일 00:41
[보안&이슈] 코로나도 끝이 보이는데... 끝이 보이지 않는 랜섬웨어 공포 ,코로나19 만큼이나 우리를 끊임없이 괴롭히는 랜섬웨어 이슈가 있다. 러-우크라이나 전쟁 이슈에 가려져 덜 주목되는 것처럼 보이나 여전히 기업을 노리고 활개...,김경애 기자,2022년 10월 24일 00:31
"[ISEC 2022] 엠클라우독, 인공지능 지식관리의 세계적 흐름과 국산 솔루션 적용사례 ",아시아 최대 규모 시큐리티 콘퍼런스 ISEC 2022 둘째 날인 19일 D트랙에서 엠클라우독 임경은 연구원은 ‘인공지능 지식관리의 세계적 흐름과 국산 솔루...,김영명 기자,2022년 10월 23일 23:35
"‘5G 넘어 세계는 6G의 시장으로’... NESAS, 글로벌 통신보안 기준 세운다",한국정보보호학회(학회장 이옥연 국민대 교수) 산하 5G보안연구회(위원장 유일선 교수)가 21일 그랜드하얏트 서울 호텔에서 ‘5G-Advanced 보안 비전...,김영명 기자,2022년 10월 23일 16:45
"KISIA, ‘정보보호’ 4개 분야 대상 분야별 전문강사 모집","한국정보보호산업협회(회장 이동범, 이하 ‘KISIA’)는 KISIA 한국정보보호교육원이 운영하고 있는 정보보호 인력 양성 교육사업 고도화를 위해 분야별 전...",김영명 기자,2022년 10월 23일 00:11
"충북대 산업인공지능연구센터, 제3회 ‘+AI 메이커톤 경진대회’ 개최",충북대 산업인공지능연구센터는 오는 27일까지 제3회 ‘+AI 메이커톤 경진대회’ 참가자를 모집한다. 이번 경진대회는 산업 현장의 애로 사항을 인공지능 기술...,박미영 기자,2022년 10월 23일 00:08
"충남대, ‘2022년 디지털골목식당 사업’ 성과보고회 개최",충남대와 유성구가 ‘2022년 디지털 골목식당’의 사업 성과와 우수 사례 공유를 위한 성과보고회를 개최했다. 지역협력본부와 유성구는 지난 20일 사업 참여...,박미영 기자,2022년 10월 23일 00:05
"충남도, 산업 디지털 전환 선도 ‘박차’",충남도가 국비 100억원을 확보해 앞으로 5년간 산업 디지털 전환 적합성 인증 및 실증 기반 구축 사업을 추진한다. 도는 산업통상자원부가 주관한 ‘산업 디...,박미영 기자,2022년 10월 23일 00:04
"단국대, ‘자율주행차 디지털 포렌식·AI 기반 영상인식시스템’ 기술이전 성공",단국대가 지난 21일 디지털 포렌식 및 AI 기반 영상인식 기술에 대한 2억원 규모의 중대형 융복합 기술이전 계약을 체결하는 데 성공했다. 이전 기술은 우...,박미영 기자,2022년 10월 22일 23:59
"KISTI, 트렌토 시스템즈 외 대전시 기업들과 지능형 공장과 망분리 보안 실증 추진","한국과학기술정보연구원(KISTI)은 지역 산업계의 디지털 전환 고도화를 위해 트렌토 시스템즈, 엑센솔루션, 금성백조주택과 기술 협력을 통해 5G 기반 지능...",박미영 기자,2022년 10월 22일 23:57
